Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
28,1.0,0.0,0.0,291.0,8.0,59.0,1116.0,0.0,29.65700000000003,0.0,0.0,130.64161014556885,,,,,,,,,,,,,,,,,,,,,9.257510985362053,9.018555472828487,29.139946798662297,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,1.0,0.0,0.0,317.0,9.0,26.0,1142.0,0.0,10.556000000000004,0.0,0.0,132.66969180107117,,,,,,,,,,,,,,,,,,,,,2.486485050542854,3.328511872427346,10.501853241927817,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,1.0,0.0,0.0,349.0,10.0,32.0,1174.0,0.0,17.105000000000015,0.0,0.0,135.14644718170166,,,,,,,,,,,,,,,,,,,,,4.995661009204939,5.5958834011281855,16.9621009486541,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,1.0,0.0,0.0,379.0,11.0,30.0,1204.0,0.0,17.504000000000012,0.0,0.0,137.72645330429077,,,,,,,,,,,,,,,,,,,,,5.480390671928347,5.831444352191379,17.356945225067218,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,410.0,12.0,31.0,1235.0,0.0,18.054000000000013,0.0,0.0,140.3797266483307,,,,,,,,,,,,,,,,,,,,,5.689957008941435,5.9604997372933735,17.89550683956238,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,484.0,13.0,74.0,1309.0,0.0,44.404999999999966,0.0,0.0,145.9290041923523,,,,,,,,,,,,,,,,,,,,,20.546247400544015,14.557801085595125,42.9275051975573,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,535.0,14.0,51.0,1360.0,0.0,34.90499999999995,0.0,0.0,149.75854110717773,,,,,,,,,,,,,,,,,,,,,12.482796462053011,11.461723149157866,34.302680060495796,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,573.0,15.0,38.0,1398.0,0.0,18.15500000000002,0.0,0.0,152.61884355545044,,,,,,,,,,,,,,,,,,,,,4.893879098506226,5.722499353881008,17.987019613870636,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,601.0,16.0,28.0,1426.0,0.0,12.405000000000006,0.0,0.0,154.8912796974182,,,,,,,,,,,,,,,,,,,,,3.2235430632198923,3.9078728364857467,12.32706786209194,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,636.0,17.0,35.0,1461.0,0.0,12.75600000000001,0.0,0.0,157.55373644828796,,,,,,,,,,,,,,,,,,,,,3.0092986406052256,3.7391995607626907,12.663337885464284,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
