Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
31,1.0,0.0,0.0,224.0,11.0,31.0,622.0,0.0,12.902000000000003,0.0,0.0,98.5151379108429,,,,,,,,,,,,,,,,,,,,,4.414405145946841,4.055968052441309,12.777931371847496,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,1.0,0.0,0.0,239.0,12.0,15.0,637.0,0.0,5.551999999999999,0.0,0.0,100.33041453361511,,,,,,,,,,,,,,,,,,,,,1.7670072204854521,1.8303482797039545,5.531025917610329,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,1.0,0.0,0.0,259.0,13.0,20.0,657.0,0.0,8.3035,0.0,0.0,102.60213851928711,,,,,,,,,,,,,,,,,,,,,2.412301064135114,2.7078899579893405,8.26351749621351,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,1.0,0.0,0.0,279.0,14.0,20.0,677.0,0.0,10.703,0.0,0.0,105.31050419807434,,,,,,,,,,,,,,,,,,,,,4.412885581860097,3.8955356747239107,10.625367656018817,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,1.0,0.0,0.0,294.0,15.0,15.0,692.0,0.0,4.352999999999999,0.0,0.0,107.1630642414093,,,,,,,,,,,,,,,,,,,,,1.1432553677741362,1.3492594593468281,4.340191360844233,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,1.0,0.0,0.0,306.0,16.0,12.0,704.0,0.0,4.0025,0.0,0.0,108.67998242378235,,,,,,,,,,,,,,,,,,,,,1.1876907178951766,1.388592457378647,3.992239951336595,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,1.0,0.0,0.0,339.0,17.0,33.0,737.0,0.0,11.102000000000002,0.0,0.0,112.22783207893372,,,,,,,,,,,,,,,,,,,,,3.9693411667656027,3.065919536435737,10.981993735231969,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,1.0,0.0,0.0,353.0,18.0,14.0,751.0,0.0,5.552499999999999,0.0,0.0,113.95914649963379,,,,,,,,,,,,,,,,,,,,,1.605610714244596,1.7582311752177564,5.535557007007584,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,1.0,0.0,0.0,366.0,19.0,13.0,764.0,0.0,4.7535,0.0,0.0,115.60856366157532,,,,,,,,,,,,,,,,,,,,,1.427374994006985,1.7398603391860878,4.739683808886797,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,1.0,0.0,0.0,385.0,20.0,19.0,783.0,0.0,10.5025,0.0,0.0,117.86878252029419,,,,,,,,,,,,,,,,,,,,,3.58359285587622,3.575188090144993,10.444856592330686,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,2.0,0.0,0.0,23.0,1.0,23.0,806.0,0.0,10.453,0.0,0.0,165.2095241546631,,,,,,,,,,,,,,,,,,,,,3.132701573381676,3.3383780465457726,10.391339203015239,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,2.0,0.0,0.0,38.0,2.0,15.0,821.0,0.0,5.1019999999999985,0.0,0.0,167.13477993011475,,,,,,,,,,,,,,,,,,,,,1.4780152978536043,1.6163894733372957,5.084914685217414,0.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,2.0,0.0,0.0,54.0,3.0,16.0,837.0,0.0,4.654,0.0,0.0,169.06084418296814,,,,,,,,,,,,,,,,,,,,,1.2194215051383062,1.5032930347269369,4.639128384302091,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,2.0,0.0,0.0,79.0,4.0,25.0,862.0,0.0,14.753499999999999,0.0,0.0,171.87983798980713,,,,,,,,,,,,,,,,,,,,,4.967367277319578,4.844171960219136,14.643959777844861,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,2.0,0.0,0.0,91.0,5.0,12.0,874.0,0.0,4.501999999999999,0.0,0.0,173.40630221366882,,,,,,,,,,,,,,,,,,,,,1.1666301696171364,1.469547747075694,4.49249293089549,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,2.0,0.0,0.0,102.0,6.0,11.0,885.0,0.0,2.7024999999999997,0.0,0.0,174.78220224380493,,,,,,,,,,,,,,,,,,,,,0.8146180149004748,0.9392612505341196,2.6962354372733683,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,2.0,0.0,0.0,117.0,7.0,15.0,900.0,0.0,5.9035,0.0,0.0,176.60513281822205,,,,,,,,,,,,,,,,,,,,,1.6494819544139923,1.9870616664615006,5.8846424130968895,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,2.0,0.0,0.0,155.0,8.0,38.0,938.0,0.0,10.302999999999992,0.0,0.0,180.75591444969177,,,,,,,,,,,,,,,,,,,,,4.584847316132661,2.6462191485803515,10.138914716703665,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,2.0,0.0,0.0,174.0,9.0,19.0,957.0,0.0,8.903999999999998,0.0,0.0,183.01076912879944,,,,,,,,,,,,,,,,,,,,,2.9217956356303945,2.950037343601074,8.85734322614917,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,2.0,0.0,0.0,189.0,10.0,15.0,972.0,0.0,6.051999999999999,0.0,0.0,184.854909658432,,,,,,,,,,,,,,,,,,,,,2.0329912040011027,2.1084964467220413,6.027532664604587,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,2.0,0.0,0.0,208.0,11.0,19.0,991.0,0.0,7.703499999999999,0.0,0.0,187.0584454536438,,,,,,,,,,,,,,,,,,,,,2.115054023119812,2.477349512566732,7.6709849585192424,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,2.0,0.0,0.0,224.0,12.0,16.0,1007.0,0.0,7.7524999999999995,0.0,0.0,189.22548651695251,,,,,,,,,,,,,,,,,,,,,2.58540488243792,2.6923484312964265,7.718852374255249,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2.0,0.0,0.0,246.0,13.0,22.0,1029.0,0.0,6.554499999999998,0.0,0.0,191.79757571220398,,,,,,,,,,,,,,,,,,,,,1.6620218719496678,2.0805982129948677,6.5244599787959014,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,2.0,0.0,0.0,271.0,14.0,25.0,1054.0,0.0,13.054499999999997,0.0,0.0,194.7387719154358,,,,,,,,,,,,,,,,,,,,,4.132039514768951,4.305813385539469,12.964163175306084,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
